psraid,sample,state,cregion,usr,eminuse,intmob,pialql1,smart1,act62,act102,act121,act131,act132,act133,act134,pial1a,pial1b,vid01a,vid01b,vid01c,vid01d,vid01e,vid01f,vid01g,vid01h,vid01i,vid01j,pial2,pial3a,pial3b,pial3c,pial3d,pial3e,pial3f,pial3g,pial4a,pial4b,pial5,pial6,cell1a,cell1b,cell1c,cell1d,cell2,employ,par,sex,age,educ2,hisp,race,inc,weight,standwt
100133,1,1,3,U,1,1,1,2,2,1,2,2,2,2,2,1,2,1,1,1,1,1,1,2,1,1,2,2, , , , , , , , , , , ,1,2,2,2,2,1,2,1,34,5,2,1,3,3.72413793103448,1.11221258164558
100140,1,55,2,S,1,1,1,1,1,1,2,1,2,1,2,1,2,1,1,1,2,2,2,2,1,1,2,2, , , , , , , , , , , ,1,2,1,2,1,3,1,2,41,3,2,1,5,3.37931034482759,1.00922993519691
100142,1,26,2,S,2,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,3,2,1,72,8,2,1,3,1.68965517241379,.504614967598456
100149,1,36,1,S,1,1,1,1,1,2,1,1,1,2,2,1,2,2,1,1,2,2,2,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,3,1,2,38,5,2,1,8,4.96551724137931,1.48295010886077
100156,1,34,1,S,1,2,2, ,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,3,2,2,80,4,2,1,4,2.13793103448276,.63849240798172
100160,1,29,2,S,1,2,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,2,2,2,72,3,2,1,3,1.44827586206897,.432527115084391
100165,1,22,3,U,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,2,72,3,2,2,2,1.86206896551724,.556106290822788
100166,1,18,2,S,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,2,2,2, , , , , , , ,2,1,2,1,1,1,1,1,1,2,2,1,18,3,2,1,2,2.62068965517241,.78266811300985
100183,1,26,2,U,1,1,1,2,2,1,1,2,2,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2, , , , , , , , , , , ,2,2,2,2,2,1,2,2,47,6,2,1,7,4.86206896551724,1.45205531492617
100186,1,37,3,S,1,2,1,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2, , , , , , , , , , , ,2,2,2,2,2,1,1,1,50,4,2,1,8,2.89655172413793,.865054230168782
100193,1,12,3,S,1,2,1,2,2,2,2,2,2,1,8, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,9,2,1,85,3,2,1,99,2.48275862068966,.741475054430384
100196,1,36,1,S,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,2,1,1,2,2,2,2,2, , , , , , , , , , , ,2,2,1,1,2,3,1,2,50,5,2,1,8,4.13793103448276,1.23579175738397
100206,1,48,3,S,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,1,19,3,1,1,1,3.48275862068966,1.04012472913151
100208,1,12,3,R,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,2, , , , , , , ,1,2,2,2,2,2,2,2,2,3,1,2,37,9,2,1,99,6.41379310344828,1.91547722394516
100213,1,46,2,R,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,3,2,2,90,3,2,1,99,1.44827586206897,.432527115084391
100214,1,39,2,S,1,1,1,1,2,1,1,1,2,2,2,2,2,1,1,2,1,2,2,2,2,1,2,2, , , , , , , , , , , ,1,1,1,2,2,3,1,1,63,6,2,1,3,3.10344827586207,.926843818037981
100221,1,18,2,S,1,1,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,3,2,2,61,3,2,1,99,2,.597299349402254
100224,1,26,2,S,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,1,70,5,2,1,3,1.44827586206897,.432527115084391
100227,1,42,1,S,1,1,1,1,2,2,2,2,2,1,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,1,2,2,64,8,2,1,7,1.41379310344828,.422228850439524
100228,1,45,3,S,1,1,2, ,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,2,2,1,47,3,2,2,1,3.13793103448276,.937142082682847
100229,1,22,3,R,1,1,1,2,2,1,2,1,2,1,2,2,2,1,1,2,2,1,2,2,1,1,2,2, , , , , , , , , , , ,2,2,2,2,1,3,2,2,51,3,2,1,7,3.06896551724138,.916545553393114
100231,1,1,3,R,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,3,2,2,82,3,2,1,2,1.44827586206897,.432527115084391
100235,1,18,2,R,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,3,2,2,84,3,2,1,2,1.44827586206897,.432527115084391
100237,1,42,1,S,1,2,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,3,2,2,59,3,2,1,4,2.62068965517241,.78266811300985
100238,1,48,3,U,1,2,2, ,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2, , , , , , , , , , , , , , , , ,9,2,1,72,8,2,1,6,3.31034482758621,.988633405907179
100239,1,39,2,S,2,2,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,3,2,1,86,6,2,1,2,1,.298649674701127
100246,1,27,2,U,1,1,1,1,2,1,1,1,2,2,2,1,2,1,1,2,1,2,2,2,1,1,2,2, , , , , , , , , , , ,2,2,2,2,2,2,2,1,63,4,2,1,4,2.03448275862069,.60759761404712
100250,1,31,2,U,1,1,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,1,1,2,2,19,2,1,1,1,3.82758620689655,1.14310737558018
100253,1,40,3,R,1,2,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,3,2,1,62,5,2,1,4,2.41379310344828,.720878525140651
100254,1,45,3,S,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2, , , , , , , , , , , ,2,2,2,2,2,3,2,2,70,4,2,1,99,1.27586206896552,.381035791860059
100258,1,16,4,R,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,2,77,2,2,1,2,3.3448275862069,.998931670552046
100271,1,49,4,S,2,1,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,3,2,1,69,4,2,1,5,2.20689655172414,.659088937271453
100272,1,21,3,U,1,1,1,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2, , , , , , , , , , , ,1,2,2,2,2,1,2,2,60,8,2,2,7,2.13793103448276,.63849240798172
100275,1,27,2,S,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,1,2,1,60,4,2,1,8,4.17241379310345,1.24609002202884
100283,1,25,1,U,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,2,2,2,1,2,2,2, , , , , , , ,2,2,2,2,2,2,2,2,2,1,2,2,58,4,2,1,6,1.24137931034483,.370737527215192
100285,1,8,4,S,1,1,1,1,2,1,1,1,1,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2, , , , , , , ,2,2,2,2,1,2,1,2,1,1,1,2,41,4,2,1,99,5.79310344827586,1.73010846033756
